,Dataset,alpha,acc,qwk,precision_0,recall_0,fbeta_score_0,precision_1,recall_1,fbeta_score_1,precision_2,recall_2,fbeta_score_2,precision_3,recall_3,fbeta_score_3,precision_4,recall_4,fbeta_score_4
RUS-1,RUS,1,0.7933243927879601,0.9056079280009821,0.7188612099644128,0.4,0.5139949109414759,0.6096590909090909,0.8766339869281046,0.7191689008042896,0.362962962962963,0.11060948081264109,0.16955017301038064,0.2948717948717949,0.09330628803245436,0.14175654853620956,0.9029458780543503,0.9772614928324271,0.9386350148367952
TL_SMT-0.3,TL_SMT,0.3,0.7563701385784533,0.8893929002774457,0.4169611307420495,0.9346534653465347,0.5766646304215028,0.648936170212766,0.4485294117647059,0.5304347826086956,0.3763440860215054,0.07900677200902935,0.13059701492537315,0.0,0.0,0.0,0.8663793103448276,0.9935739001482946,0.9256274464655767
OG-0.7,OG,0.7,0.7703769929965728,0.8798721808211711,0.0,0.0,0.0,0.5409683426443203,0.9493464052287581,0.6892052194543298,0.0,0.0,0.0,0.0,0.0,0.0,0.8791401623162974,0.990608007909046,0.9315514235909355
NCR-0.1,NCR,0.1,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
NCR-0.8,NCR,0.8,0.7723141111607809,0.8864718687161421,0.0,0.0,0.0,0.5472143531633616,0.9468954248366013,0.6935966487133453,0.34782608695652173,0.03611738148984198,0.06543967280163598,0.31746031746031744,0.04056795131845842,0.07194244604316546,0.8893844781445138,0.9856648541769649,0.935052754982415
CNN-0.6,CNN,0.6,0.7670987930263746,0.9071796731292393,0.7037037037037037,0.4514851485148515,0.5500603136308806,0.6177156177156177,0.8660130718954249,0.7210884353741496,0.3333333333333333,0.14221218961625282,0.19936708860759492,0.23378839590443687,0.2778904665314402,0.25393883225208524,0.9394250513347022,0.9045971329708354,0.9216821959204231
RUS_SMT-0.8,RUS_SMT,0.8,0.7696319475488005,0.9133746458043692,0.4594882729211087,0.8534653465346534,0.5973665973665974,0.676378772112383,0.5310457516339869,0.5949656750572083,0.33653846153846156,0.23702031602708803,0.2781456953642384,0.2916666666666667,0.12778904665314403,0.17771509167842034,0.9140989729225023,0.967869500741473,0.9402160864345738
OG-0.1,OG,0.1,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
OG-0.3,OG,0.3,0.7700789748174639,0.8756232796002152,0.0,0.0,0.0,0.5612395474667978,0.9321895424836601,0.7006447651212773,0.0,0.0,0.0,0.0,0.0,0.0,0.860837964942283,0.995304003954523,0.9232003668042184
RUS-0.4,RUS,0.4,0.7700789748174639,0.8770022456270806,0.0,0.0,0.0,0.5448989186647861,0.9468954248366013,0.6917338108027454,0.0,0.0,0.0,0.0,0.0,0.0,0.8745636998254799,0.99085516559565,0.9290845886442641
